location,english,german,farsi
timeline.intro,"At the heart of the Woman, Life, Freedom movement are thousands of stories and events. The timeline below highlights some of the movement's turning points.","Im Herzen der Bewegung Frau, Leben, Freiheit stehen Tausende Geschichten und Ereignisse. Die folgende Zeitleiste zeigt einige Wendepunkte dieser Bewegung.","در دلِ جنبشِ زن، زندگی، آزادی، هزاران روایت و اتفاق وجود دارد. تاریخی که در زیر آمده؛ بعضی از نقاطِ عطف این جنبش را نشان می‌دهد."
timeline.roots.date,Before 2022,Vor 2022,پیش از ۲۰۲۲
timeline.roots.title,The words already carried history.,Die Worte trugen bereits Geschichte.,این واژه‌ها پیشاپیش تاریخی با خود داشتند.
timeline.roots.body,"“Jin, Jiyan, Azadî” emerged from decades of Kurdish women’s organizing and thought.","„Jin, Jiyan, Azadî“ entstand aus Jahrzehnten kurdischer Frauenorganisierung und politischen Denkens.","«ژن، ژیان، ئازادی» از دهه‌ها سازمان‌دهی و اندیشه زنان کُرد برخاست."
timeline.detained.date,13-Sep-22,13. September 2022,۱۳ سپتامبر ۲۰۲۲
timeline.detained.title,Jina is detained in Tehran.,Jina wird in Teheran festgenommen.,ژینا در تهران بازداشت می‌شود.
timeline.detained.body,The “morality police” detained her over compulsory veiling rules.,Die sogenannte Sittenpolizei nahm sie wegen der Zwangsverschleierungsvorschriften fest.,گشت ارشاد او را به‌دلیل قوانین حجاب اجباری بازداشت می‌کند.
timeline.death.date,16-Sep-22,16. September 2022,۱۶ سپتامبر ۲۰۲۲
timeline.death.title,Jina's heart stops.,Jinas Herz hört auf zu schlagen.,قلبِ ژینا از حرکت ایستاد.
timeline.death.body,Her death becomes the spark for nationwide protest.,Ihr Tod wird zum Auslöser landesweiter Proteste.,"جان‌باختنِ ژینا، جرقه اعتراض‌های سراسری می‌شود."
timeline.funeral.date,17-Sep-22,17. September 2022,۱۷ سپتامبر ۲۰۲۲
timeline.funeral.title,"The slogan Woman, Life, Freedom echoes through Saqqez.","Der Ruf Frau, Leben, Freiheit hallt durch Saqqez.","شعارِ زن، زندگی، آزادی در سقز طنین می‌اندازد."
timeline.funeral.body,"At her funeral, “Jin, Jiyan, Azadî” is chanted, and the slogan quickly gains widespread support across the country.","Bei ihrer Beerdigung wird „Jin, Jiyan, Azadî“ gerufen, und die Parole findet rasch im ganzen Land breiten Zuspruch.","در خاکسپاری او «ژن، ژیان، ئازادی» سر داده می‌شود و این شعار به‌سرعت در سرتاسر کشور مورد اقبال عمومی قرار می‌گیرد."
timeline.streets.date,Autumn 2022,Herbst 2022,پاییز ۲۰۲۲
timeline.streets.title,The uprising spreads.,Der Aufstand breitet sich aus.,خیزش گسترش می‌یابد.
timeline.streets.body,Women and young people were at the heart of these protests.,Frauen und junge Menschen standen im Zentrum dieser Proteste.,زنان و جوانان در قلبِ این اعتراضات حضور داشتند.
timeline.un.date,24-Nov-22,24. November 2022,۲۴ نوامبر ۲۰۲۲
timeline.un.title,An international investigation begins.,Eine internationale Untersuchung beginnt.,یک تحقیق بین‌المللی آغاز می‌شود.
timeline.un.body,The UN Human Rights Council establishes an independent fact-finding mission on violations connected to the protests.,Der UN-Menschenrechtsrat setzt eine unabhängige Untersuchungskommission zu den mit den Protesten verbundenen Menschenrechtsverletzungen ein.,شورای حقوق بشر سازمان ملل هیئت حقیقت‌یاب مستقلی درباره نقض‌های مرتبط با اعتراض‌ها تشکیل می‌دهد.
timeline.repression.date,December 2022 onward,Ab Dezember 2022,از دسامبر ۲۰۲۲
timeline.repression.title,Repression intensifies.,Die Repression verschärft sich.,سرکوب شدت می‌گیرد.
timeline.repression.body,"Arrests, torture, unfair trials, and protest-related executions are used to instil fear; resistance continues in public and private life.","Festnahmen, Folter, unfaire Verfahren und protestbezogene Hinrichtungen sollen Angst verbreiten; der Widerstand setzt sich im öffentlichen und privaten Leben fort.","بازداشت، شکنجه، دادگاه‌های ناعادلانه و اعدام‌های مرتبط با اعتراض برای ایجاد ترس به کار می‌رود؛ مقاومت در زندگی عمومی و خصوصی ادامه می‌یابد."
timeline.findings.date,Mar-24,März 2024,مارس ۲۰۲۴
timeline.findings.title,The UN mission publishes its findings.,Die UN-Kommission veröffentlicht ihre Ergebnisse.,هیئت حقیقت‌یابِ سازمان ملل یافته‌های خود را منتشر می‌کند.
timeline.findings.body,The mission holds the government responsible for Jina's unlawful death following physical violence and concludes that the government's actions constituted crimes against humanity.,"Die Mission macht die Regierung für Jinas unrechtmäßigen Tod infolge körperlicher Gewalt verantwortlich und kommt zu dem Schluss, dass das Vorgehen der Regierung Verbrechen gegen die Menschlichkeit darstellte.","هیئت، حکومت را مسئول مرگ غیرقانونی ژینا در پی خشونت فیزیکی می‌داند و نتیجه می‌گیرد که اقدامات حکومت شامل جنایت علیه بشریت بوده است."
timeline.vienna.date,15-Sep-26,15. September 2026,۱۵ سپتامبر ۲۰۲۶
timeline.vienna.title,We gather in Vienna.,Wir kommen in Wien zusammen.,در وین گرد هم می‌آییم.
timeline.vienna.body,"Four years after this movement began, we come together to remember, connect, and continue the journey. Groups, artists, activists, and members of the public meet in a shared civic space.","Vier Jahre nach Beginn dieser Bewegung kommen wir zusammen, um uns zu erinnern, Verbindungen zu knüpfen und den Weg gemeinsam fortzusetzen. Gruppen, Kunstschaffende, Aktivist:innen und Bürger:innen begegnen einander in einem gemeinsamen zivilgesellschaftlichen Raum.","چهار سال بعد از آغاز این جنبش کنار، برای به یادآوردن، پیوند خوردن، و ادامه مسیر کنار هم قرار میگیریم. گروه‌ها، هنرمندان، کنشگران و شهروندان در فضایی مدنی کنار هم می‌آیند."
gather.kicker_compact,04 · From remembrance to connection,04 · Von der Erinnerung zur Verbundenheit,۰۴  از یادآوری تا پیوند
gather.title,What can you expect at the event on 15 September?,Was erwartet Sie bei der Veranstaltung am 15. September?,در برنامه 15 سپتامبر چه خواهید دید؟
gather.intro,"We, a collective of human rights, civic, and political groups, are coming together to talk with you in a welcoming atmosphere, to remember, strengthen our bonds, and reflect on how to continue the resistance.","Wir, ein Zusammenschluss aus Menschenrechtsgruppen sowie zivilgesellschaftlichen und politischen Gruppen, kommen zusammen, um in einer offenen, herzlichen Atmosphäre mit Ihnen ins Gespräch zu kommen, uns zu erinnern, unsere Verbindungen zu stärken und über die Fortsetzung des Widerstands nachzudenken.","ما، جمعی از گروه‌های حقوق‌بشری، مدنی و سیاسی گرد هم می‌آییم تا در فضایی صمیمانه با شما گفتگو کنیم، به یاد بیاوریم، پیوندهایمان را تقویت کنیم، و به ادامه مقاومت بیاندیشیم."
gather.remember.title,Memory,Erinnerung,یاد
gather.remember.body,We call the past to mind so that what has happened is not forgotten.,"Wir rufen die Vergangenheit wach, damit das Geschehene nicht in Vergessenheit gerät.",گذشته را فرا میخوانیم تا آن‌چه رفت را از یاد نبریم
gather.listen.title,Solidarity,Solidarität,پیوند
gather.listen.body,We come together and renew our bonds.,Wir kommen zusammen und beleben unsere Verbindungen neu.,در کنار هم قرار میگیریم وپیوندهایمان را زنده میکنیم
gather.connect.title,Resistance,Widerstand,مقاومت
gather.connect.body,"Together, we reflect on how to keep resisting in pursuit of our goals.","Gemeinsam denken wir darüber nach, wie wir den Widerstand für unsere Ziele fortsetzen können.","در کنار هم، به مقاومت برای اهداف‌مان فکر می‌کنیم"
event.date.label,Date,Datum,تاریخ
event.date.value,15-Sep-26,15. September 2026,۱۵ سپتامبر ۲۰۲۶
event.time.label,Time,Zeit,زمان
event.time.value,14:00–19:00,14:00–19:00,۱۴:۰۰ تا ۱۹:۰۰
event.place.label,Place,Ort,مکان
event.place.value,Kaisermühlen VIC · Muhammad Asad Square exit,Kaisermühlen VIC · Ausgang Muhammad-Asad-Platz,کایزرمولن VIC · خروجی میدان محمد اسد
event.admission.label,Admission,Eintritt,ورود
event.admission.value,Free,Kostenlos,رایگان
event.calendar,Add to calendar,Zum Kalender hinzufügen,افزودن به تقویم
calendar.google,Google Calendar,Google Kalender,تقویم گوگل
calendar.outlook,Outlook / Microsoft 365,Outlook / Microsoft 365,اوت‌لوک / مایکروسافت ۳۶۵
calendar.apple,Apple / other calendar,Apple / anderer Kalender,اپل / تقویم دیگر
common.scroll_down,Scroll down,Nach unten scrollen,به پایین بروید
accessibility.scroll_down,Scroll to the next section,Zum nächsten Abschnitt scrollen,رفتن به بخش بعدی
groups.kicker_compact,05 · Meet some of the participating groups,05 · Einige der teilnehmenden Gruppen kennenlernen,۰۵ آشنایی با بعضی از گروه‌های شرکت‌کننده
groups.title,Active and dynamic organizations give us greater hope to keep going.,"Lebendige und aktive Organisationen geben uns mehr Hoffnung, weiterzumachen.","نهادهای پویا و فعال، ما را به ادامه‌دادن امیدوارتر می‌کنند."
groups.intro,Select a card to connect with the groups.,"Wählen Sie eine Karte aus, um mit den Gruppen in Kontakt zu treten.","برای ارتباط با گروه‌ها، کارت‌ها را انتخاب کنید."
groups.view,View story,Mehr erfahren,مشاهده روایت
groups.close,Close,Schließen,بستن
groups.loading,Loading participating groups…,Teilnehmende Gruppen werden geladen…,در حال بارگذاری گروه‌های شرکت‌کننده…
groups.error,Participating groups could not be loaded.,Teilnehmende Gruppen konnten nicht geladen werden.,گروه‌های شرکت‌کننده بارگذاری نشدند.
contact.kicker,Stay connected,In Verbindung bleiben,در ارتباط بمانید
contact.title,Contact us.,Kontaktieren Sie uns.,با ما تماس بگیرید.
contact.email.label,Email,E-Mail,ایمیل
contact.email.value,contact@womanlifefreedomvienna.com,contact@womanlifefreedomvienna.com,contact@womanlifefreedomvienna.com
contact.instagram.label,Instagram,Instagram,اینستاگرام
contact.instagram.value,@solidarity_for_liberty,@solidarity_for_liberty,@solidarity_for_liberty
sources.kicker,Sources & context,Quellen & Kontext,منابع و زمینه
sources.title,Read the sources and reports used.,Lesen Sie die verwendeten Quellen und Berichte.,منابع و گزارش‌های استفاده شده را بخوانید
sources.intro,"This story is a concise interpretation, not a complete historical record. The factual timeline is grounded in the sources below.","Diese Geschichte ist eine knappe Einordnung, kein vollständiger historischer Bericht. Die faktische Zeitleiste stützt sich auf die folgenden Quellen.","این روایت برداشتی فشرده است، نه گزارشی کامل از تاریخ. گاه‌شمار بر منابع زیر استوار است."
footer.identity,"Woman, Life, Freedom · Vienna · 2026","Frau, Leben, Freiheit · Wien · 2026","زن، زندگی، آزادی · وین · ۲۰۲۶"
footer.note,Memory. Solidarity. Resistance.,Erinnerung. Solidarität. Widerstand.,یاد. پیوند. مقاومت.
hero.event_city,Vienna,Wien,وین
hero.event_date,15. September 2026,15. September 2026,۱۵ سپتامبر ۲۰۲۶
hero.event_time,14:00-19:00,14:00-19:00,۱۴:۰۰-۱۹:۰۰
